gate,rank,line,module,unit,gate_type,combined_score,lti range,lti start,welcht,weight
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1521,44,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__or2_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1521,44,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__or2_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1521,44,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__or2_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1418,45,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,10080000-10099999,10080000,26.456518448598874,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1418,45,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,10060000-10079999,10060000,26.456518448598874,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1418,45,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.89810372347884,14020000-14039999,14020000,12.985066826281093,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1427,46,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.8799117160261,10080000-10099999,10080000,25.08565767166947,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1427,46,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.8799117160261,10060000-10079999,10060000,25.08565767166947,1
skivav/core_EX_EU_sub_71_39_Y_core_EX_EU_add_55_39_g1427,46,{{../../rtl/skivav/ALU.v 71 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__nand2_1,65.8799117160261,14020000-14039999,14020000,15.708596372687156,1
skivav/g155019,47,{{../../rtl/skivav/ALU.v 113 126}},ALU.v,Execute Stage,sky130_fd_sc_hd__xnor2_1,65.44148095936231,10080000-10099999,10080000,26.296154187274542,1
skivav/g155019,47,{{../../rtl/skivav/ALU.v 113 126}},ALU.v,Execute Stage,sky130_fd_sc_hd__xnor2_1,65.44148095936231,10060000-10079999,10060000,26.296154187274542,1
skivav/g155019,47,{{../../rtl/skivav/ALU.v 113 126}},ALU.v,Execute Stage,sky130_fd_sc_hd__xnor2_1,65.44148095936231,14020000-14039999,14020000,12.849172584813228,1
skivav/g156103,48,{{../../rtl/skivav/ALU.v 68 39}},ALU.v,Execute Stage,sky130_fd_sc_hd__a2bb2oi_1,65.43612777060994,10080000-10099999,10080000,25.398354929424446,1
